State,Tuition
Alabama ,9826.626
Alaska ,7221.032
Arizona ,10557.034
Arkansas ,8186.904
California ,8019.907
Colorado ,9539.832
Connecticut ,12355.172
Delaware ,9998.868
District of Columbia ,5756
Florida ,4455.479
Georgia ,7206.42
Hawaii ,9709.102
Idaho ,7247.168
Illinois ,13970.568
Indiana ,9038.218
Iowa ,8766.345
Kansas ,8736.582
Kentucky ,10365.092
Louisiana ,9164.635
Maine ,9664.274
Maryland ,9289.407
Massachusetts ,12778.473
Michigan ,12434.584
Minnesota ,11225.877
Mississippi ,7979.736
Missouri ,8386.832
Montana ,6782.557
Nebraska ,8188.293
Nevada ,5920.499
New Hampshire ,15948.794
New Jersey ,13633.36
New Mexico ,6717.642
New York ,7938.103
North Carolina ,7354.183
North Dakota ,7687.283
Ohio ,10025.679
Oklahoma ,7622.557
Oregon ,10362.925
Pennsylvania ,14534.294
Rhode Island ,12238.8
South Carolina ,12579.044
South Dakota ,8539.815
Tennessee ,9574.426
Texas ,8645.247
Utah ,6556.917
Vermont ,16103.349
Virginia ,12637.12
Washington ,6830.454
West Virginia ,7619.235
Wisconsin ,8475.015
Wyoming ,4443
